UF;Ano;Status;SSP_Exceto_R$;SSP_Intra_R$;SSP_Total_R$;SAP_Exceto_R$;SAP_Intra_R$;SAP_Total_R$;SSP_SAP_Exceto_R$;SSP_SAP_Intra_R$;SSP_SAP_Total_R$;Total_Exceto_R$;Total_Intra_R$;Total_Geral_R$;Pct_SSP_Exceto_%;Pct_SSP_Total_%;Pct_SAP_Exceto_%;Pct_SAP_Total_%;Pct_SSP_SAP_Exceto_%;Pct_SSP_SAP_Total_%;Pct_API_%
AC;2015;OK;422789664,35;0,0;422789664,35;34451868,31;0,0;34451868,31;457241532,66;0,0;457241532,66;4813590069,85;330516587,06;5144106656,91;8,78;8,22;0,72;0,67;9,5;8,89;8,22
AC;2016;OK;434114223,37;40738926,22;474853149,59;47747167,76;19718,99;47766886,75;481861391,13;40758645,21;522620036,34;4914850559,91;415146977,55;5329997537,46;8,83;8,91;0,97;0,9;9,8;9,81;8,14
AC;2017;OK;506393234,63;51170614,15;557563848,78;65764588,9;9865,28;65774454,18;572157823,53;51180479,43;623338302,9599999;5353609717,31;604988804,08;5958598521,39;9,46;9,36;1,23;1,1;10,69;10,46;8,5
AC;2018;OK;579819877,47;63345769,05;643165646,52;89269695,77;46319,23;89316015,0;669089573,24;63392088,28;732481661,52;5829775187,23;684966357,72;6514741544,95;9,95;9,87;1,53;1,37;11,48;11,24;8,9
AC;2019;OK;660178009,42;73373589,09;733551598,51;51983460,4;0,0;51983460,4;712161469,8199999;73373589,09;785535058,91;5900138857,55;309349175,36;6209488032,91;11,19;11,81;0,88;0,84;12,07;12,65;10,63
AC;2020;OK;481239719,07;54791802,59;536031521,66;52401061,41;106604,3;52507665,70999999;533640780,48;54898406,89;588539187,37;6076628899,89;458440734,19;6535069634,08;7,92;8,2;0,86;0,8;8,78;9,01;7,36
AC;2021;OK;542440176,63;56691077,88;599131254,51;40991939,27;0,0;40991939,27;583432115,9;56691077,88;640123193,78;7093194287,06;424384012,47;7517578299,53;7,65;7,97;0,58;0,55;8,23;8,52;7,22
AC;2022;OK;929907362,4;84505173,66;1014412536,06;20361338,26;307703,04;20669041,3;950268700,66;84812876,7;1035081577,36;8923970953,17;468321791,33;9392292744,5;10,42;10,8;0,23;0,22;10,65;11,02;9,9
AC;2023;OK;1020473939,2;89439226,68;1109913165,88;22708349,96;1132093,01;23840442,970000003;1043182289,16;90571319,69;1133753608,85;9442045884,48;492125243,91;9934171128,39;10,81;11,17;0,24;0,24;11,05;11,41;10,27
AC;2024;OK;1091202543,64;94796663,51;1185999207,15;649198,02;0,0;649198,02;1091851741,66;94796663,51;1186648405,17;10836359094,48;518251538,52;11354610633,0;10,07;10,45;0,01;0,01;10,08;10,45;9,61
AL;2015;OK;1047591867,09;0,0;1047591867,09;2702168,2;0,0;2702168,2;1050294035,29;0,0;1050294035,29;7666529318,62;187089123,73;7853618442,35;13,66;13,34;0,04;0,03;13,7;13,37;13,34
AL;2016;OK;1032406706,97;194418993,18;1226825700,15;3178817,88;0,0;3178817,88;1035585524,85;194418993,18;1230004518,0300002;8371504012,6;1481844818,4;9853348831,0;12,33;12,45;0,04;0,03;12,37;12,48;10,48
AL;2017;OK;1121306009,4;179629092,63;1300935102,0300002;5707213,97;0,0;5707213,97;1127013223,37;179629092,63;1306642316,0000002;8825725557,7;1611061896,07;10436787453,77;12,7;12,46;0,06;0,05;12,77;12,52;10,74
AL;2018;OK;1152617461,36;192326349,91;1344943811,27;1395256,28;0,0;1395256,28;1154012717,64;192326349,91;1346339067,55;8468265337,55;1800546299,78;10268811637,33;13,61;13,1;0,02;0,01;13,63;13,11;11,22
AL;2019;OK;1115833764,44;184239830,92;1300073595,36;80274266,82;0,0;80274266,82;1196108031,26;184239830,92;1380347862,18;8522686582,05;552821270,68;9075507852,73;13,09;14,33;0,94;0,88;14,03;15,21;12,3
AL;2020;OK;1325167795,36;87113795,33;1412281590,6899998;114839986,71;0,0;114839986,71;1440007782,07;87113795,33;1527121577,4;9376901984,36;639418798,17;10016320782,53;14,13;14,1;1,22;1,15;15,36;15,25;13,23
AL;2021;OK;1320467623,05;80173607,7;1400641230,75;202803046,93;0,0;202803046,93;1523270669,98;80173607,7;1603444277,68;11999711154,03;623442884,95;12623154038,98;11,0;11,1;1,69;1,61;12,69;12,7;10,46
AL;2022;OK;1583072100,53;87727779,08;1670799879,61;183258812,88;0,0;183258812,88;1766330913,4099998;87727779,08;1854058692,49;15165901440,22;603055541,43;15768956981,65;10,44;10,6;1,21;1,16;11,65;11,76;10,04
AL;2023;OK;1794418089,74;103852716,21;1898270805,95;321805823,37;0,0;321805823,37;2116223913,11;103852716,21;2220076629,32;16181349072,33;703470739,89;16884819812,22;11,09;11,24;1,99;1,91;13,08;13,15;10,63
AL;2024;OK;2012602381,04;62486657,7;2075089038,74;99985255,15;0,0;99985255,15;2112587636,19;62486657,7;2175074293,89;17478395563,43;685259968,94;18163655532,37;11,51;11,42;0,57;0,55;12,09;11,97;11,08
AM;2015;OK;1354129104,93;0,0;1354129104,93;239124686,06;0,0;239124686,06;1593253790,99;0,0;1593253790,99;13736184089,77;464519210,17;14200703299,94;9,86;9,54;1,74;1,68;11,6;11,22;9,54
AM;2016;OK;1392572123,73;169853508,29;1562425632,02;381100954,78;0,0;381100954,78;1773673078,51;169853508,29;1943526586,8;13937145191,15;587920123,39;14525065314,54;9,99;10,76;2,73;2,62;12,73;13,38;9,59
AM;2017;OK;1411427539,63;168510655,62;1579938195,25;226431394,69;0,0;226431394,69;1637858934,3200002;168510655,62;1806369589,94;14063982942,16;592600141,51;14656583083,67;10,04;10,78;1,61;1,54;11,65;12,32;9,63
AM;2018;OK;1715177655,49;200268841,6;1915446497,09;272566334,08;0,0;272566334,08;1987743989,57;200268841,6;2188012831,17;16325425245,44;718730191,34;17044155436,78;10,51;11,24;1,67;1,6;12,18;12,84;10,06
AM;2019;OK;2011381251,93;242982861,61;2254364113,54;263914518,42;0,0;263914518,42;2275295770,35;242982861,61;2518278631,96;17540821158,12;872091392,63;18412912550,75;11,47;12,24;1,5;1,43;12,97;13,68;10,92
AM;2020;OK;2068375322,94;140995587,14;2209370910,08;393393962,28;0,0;393393962,28;2461769285,2200003;140995587,14;2602764872,36;18533793251,13;1849460191,38;20383253442,51;11,16;10,84;2,12;1,93;13,28;12,77;10,15
AM;2021;OK;2276422104,83;102935829,32;2379357934,15;447939476,83;0,0;447939476,83;2724361581,66;102935829,32;2827297410,98;22588216786,77;1039466200,29;23627682987,06;10,08;10,07;1,98;1,9;12,06;11,97;9,63
AM;2022;OK;2601261750,58;113042051,36;2714303801,94;356621242,64;0,0;356621242,64;2957882993,22;113042051,36;3070925044,58;27275715255,15;994706234,18;28270421489,33;9,54;9,6;1,31;1,26;10,84;10,86;9,2
AM;2023;OK;2641795841,98;110153039,49;2751948881,47;436110782,89;0,0;436110782,89;3077906624,87;110153039,49;3188059664,36;28410375799,07;948560713,51;29358936512,58;9,3;9,37;1,54;1,49;10,83;10,86;9,0
AM;2024;OK;2964407513,78;117751382,82;3082158896,6000004;586897863,81;0,0;586897863,81;3551305377,59;117751382,82;3669056760,41;32897257357,41;1019912581,63;33917169939,04;9,01;9,09;1,78;1,73;10,8;10,82;8,74
AP;2015;OK;450492315,38;0,0;450492315,38;10997523,92;0,0;10997523,92;461489839,3;0,0;461489839,3;3561371962,4;61727885,96;3623099848,36;12,65;12,43;0,31;0,3;12,96;12,74;12,43
AP;2016;OK;406228319,98;0,0;406228319,98;11481793,15;0,0;11481793,15;417710113,13;0,0;417710113,13;3788535779,28;130503189,72;3919038969,0;10,72;10,37;0,3;0,29;11,03;10,66;10,37
AP;2017;OK;447686649,35;0,0;447686649,35;13683142,23;0,0;13683142,23;461369791,58;0,0;461369791,58;3834621684,66;168193406,85;4002815091,51;11,67;11,18;0,36;0,34;12,03;11,53;11,18
AP;2018;OK;450858698,03;0,0;450858698,03;16775619,18;0,0;16775619,18;467634317,21;0,0;467634317,21;4200929133,16;170983646,21;4371912779,37;10,73;10,31;0,4;0,38;11,13;10,7;10,31
AP;2019;OK;552215231,77;0,0;552215231,77;17588555,49;0,0;17588555,49;569803787,26;0,0;569803787,26;4753885225,13;169213750,52;4923098975,65;11,62;11,22;0,37;0,36;11,99;11,57;11,22
AP;2020;OK;722548985,65;0,0;722548985,65;15663975,97;0,0;15663975,97;738212961,62;0,0;738212961,62;4755084442,16;251811027,34;5006895469,5;15,2;14,43;0,33;0,31;15,52;14,74;14,43
AP;2021;OK;720583076,55;0,0;720583076,55;16866226,82;0,0;16866226,82;737449303,37;0,0;737449303,37;5294721112,94;201910509,67;5496631622,61;13,61;13,11;0,32;0,31;13,93;13,42;13,11
AP;2022;OK;878492078,71;0,0;878492078,71;27026686,21;0,0;27026686,21;905518764,92;0,0;905518764,92;6745512763,93;164017557,54;6909530321,47;13,02;12,71;0,4;0,39;13,42;13,11;12,71
AP;2023;OK;930140168,2;0,0;930140168,2;24806112,98;0,0;24806112,98;954946281,18;0,0;954946281,18;7996822035,59;119247745,89;8116069781,48;11,63;11,46;0,31;0,31;11,94;11,77;11,46
AP;2024;OK;1048091062,13;0,0;1048091062,13;38046885,86;0,0;38046885,86;1086137947,99;0,0;1086137947,99;9299452041,83;259841186,01;9559293227,84;11,27;10,96;0,41;0,4;11,68;11,36;10,96
BA;2015;OK;3710967127,5;0,0;3710967127,5;255418789,11;0,0;255418789,11;3966385916,61;0,0;3966385916,61;36332515086,93;2880767103,41;39213282190,34;10,21;9,46;0,7;0,65;10,92;10,11;9,46
BA;2016;OK;4114985183,62;727805667,15;4842790850,77;324298670,5;20061434,46;344360104,96;4439283854,12;747867101,61;5187150955,73;39160114187,74;3268838607,89;42428952795,63;10,51;11,41;0,83;0,81;11,34;12,23;9,7
BA;2017;OK;4059868816,81;849833336,96;4909702153,77;345508270,8;22621093,79;368129364,59;4405377087,61;872454430,75;5277831518,360001;40394554151,28;4590654242,68;44985208393,96;10,05;10,91;0,86;0,82;10,91;11,73;9,02
BA;2018;OK;4292028772,43;855623233,58;5147652006,01;381971383,15;25876070,08;407847453,23;4674000155,58;881499303,6600001;5555499459,24;43098496489,77;3081098773,55;46179595263,32;9,96;11,15;0,89;0,88;10,84;12,03;9,29
BA;2019;OK;4506107994,55;861709845,9;5367817840,45;429500245,02;22142635,48;451642880,5;4935608239,57;883852481,38;5819460720,95;45135209045,18;3152829366,83;48288038412,01;9,98;11,12;0,95;0,94;10,94;12,05;9,33
BA;2020;OK;4301274307,75;256414680,54;4557688988,29;440849635,67;21738945,22;462588580,89;4742123943,42;278153625,76;5020277569,18;45775355324,47;2508547242,87;48283902567,34;9,4;9,44;0,96;0,96;10,36;10,4;8,91
BA;2021;OK;4319232567,0;288787617,65;4608020184,65;490633682,06;19985612,08;510619294,14;4809866249,06;308773229,73;5118639478,79;51900309465,92;3205744471,1;55106053937,02;8,32;8,36;0,95;0,93;9,27;9,29;7,84
BA;2022;OK;5151760218,53;330363444,88;5482123663,41;490372939,51;22910460,08;513283399,59;5642133158,04;353273904,96;5995407063,0;66945120755,8;2917278061,89;69862398817,69;7,7;7,85;0,73;0,73;8,43;8,58;7,37
BA;2023;OK;5855742155,9;380112012,45;6235854168,349999;559144181,06;31874026,61;591018207,67;6414886336,959999;411986039,06;6826872376,02;72501791476,07;3862123901,4;76363915377,47;8,08;8,17;0,77;0,77;8,85;8,94;7,67
BA;2024;OK;6454228813,16;424996200,53;6879225013,69;604648050,0;35717539,78;640365589,78;7058876863,16;460713740,31;7519590603,469999;69740359568,72;3207479720,78;72947839289,5;9,25;9,43;0,87;0,88;10,12;10,31;8,85
CE;2015;OK;1753469667,47;0,0;1753469667,47;146443338,72;0,0;146443338,72;1899913006,19;0,0;1899913006,19;20155364642,63;983896473,0;21139261115,63;8,7;8,29;0,73;0,69;9,43;8,99;8,29
CE;2016;OK;1878699039,68;244535576,66;2123234616,34;3425489,96;0,0;3425489,96;1882124529,64;244535576,66;2126660106,3;21686240485,17;1179648831,88;22865889317,05;8,66;9,29;0,02;0,01;8,68;9,3;8,22
CE;2017;OK;2048599129,8;289856549,53;2338455679,33;3749495,86;0,0;3749495,86;2052348625,66;289856549,53;2342205175,19;22651232801,72;1311825261,29;23963058063,01;9,04;9,76;0,02;0,02;9,06;9,77;8,55
CE;2018;OK;2533499592,96;368196209,2;2901695802,16;4782490,83;0,0;4782490,83;2538282083,79;368196209,2;2906478292,99;24792007211,24;1605450021,59;26397457232,83;10,22;10,99;0,02;0,02;10,24;11,01;9,6
CE;2019;OK;2698889557,46;432740366,59;3131629924,05;11001478,41;0,0;11001478,41;2709891035,87;432740366,59;3142631402,46;25316752985,95;1592224088,11;26908977074,06;10,66;11,64;0,04;0,04;10,7;11,68;10,03
CE;2020;OK;2972428596,5;412285742,08;3384714338,58;0,0;0,0;0,0;2972428596,5;412285742,08;3384714338,58;25740898099,23;1616141746,14;27357039845,37;11,55;12,37;0,0;0,0;11,55;12,37;10,87
CE;2021;OK;3186393887,75;454454503,37;3640848391,12;0,0;0,0;0,0;3186393887,75;454454503,37;3640848391,12;29364541412,43;1720652149,23;31085193561,66;10,85;11,71;0,0;0,0;10,85;11,71;10,25
CE;2022;OK;4076369554,38;582483380,64;4658852935,02;0,0;0,0;0,0;4076369554,38;582483380,64;4658852935,02;31073192482,22;2448121784,56;33521314266,78;13,12;13,9;0,0;0,0;13,12;13,9;12,16
CE;2023;OK;4470803652,35;683878723,29;5154682375,64;0,0;0,0;0,0;4470803652,35;683878723,29;5154682375,64;34059823705,5;2213917427,17;36273741132,67;13,13;14,21;0,0;0,0;13,13;14,21;12,33
CE;2024;OK;4685759577,95;806574401,03;5492333978,98;2352067,68;0,0;2352067,68;4688111645,63;806574401,03;5494686046,66;38688913486,61;2969585693,53;41658499180,14;12,11;13,18;0,01;0,01;12,12;13,19;11,25
DF;2015;OK;604958319,63;0,0;604958319,63;8255392,57;0,0;8255392,57;613213712,2;0,0;613213712,2;26650196732,2;0,0;26650196732,2;2,27;2,27;0,03;0,03;2,3;2,3;2,27
DF;2016;OK;708564578,41;0,0;708564578,41;88983167,69;0,0;88983167,69;797547746,0999999;0,0;797547746,0999999;25393610383,57;0,0;25393610383,57;2,79;2,79;0,35;0,35;3,14;3,14;2,79
DF;2017;OK;745509635,19;61730481,53;807240116,72;24974444,96;649999,95;25624444,91;770484080,1500001;62380481,48;832864561,63;19028512282,58;1795495015,67;20824007298,25;3,92;3,88;0,13;0,12;4,05;4,0;3,58
DF;2018;OK;789058634,23;78608822,89;867667457,12;66604394,0;1040795,97;67645189,97;855663028,23;79649618,86;935312647,09;21831491078,82;1925211036,04;23756702114,86;3,61;3,65;0,31;0,28;3,92;3,94;3,32
DF;2019;OK;825276748,29;85054993,64;910331741,93;105746968,13;1775723,41;107522691,54;931023716,42;86830717,05;1017854433,47;21902120056,43;1951398117,37;23853518173,8;3,77;3,82;0,48;0,45;4,25;4,27;3,46
DF;2020;OK;893254504,76;83876822,1;977131326,86;22224884,18;0,0;22224884,18;915479388,94;83876822,1;999356211,04;22267969385,58;1961836914,45;24229806300,03;4,01;4,03;0,1;0,09;4,11;4,12;3,69
DF;2021;OK;903561520,99;106638204,61;1010199725,6;31642124,69;1350406,72;32992531,41;935203645,68;107988611,33;1043192257,01;25366537262,59;2370687893,84;27737225156,43;3,56;3,64;0,12;0,12;3,69;3,76;3,26
DF;2022;OK;1044983398,47;124186272,77;1169169671,24;36868890,96;1700392,36;38569283,32;1081852289,43;125886665,13;1207738954,56;29714588540,56;2803923556,31;32518512096,87;3,52;3,6;0,12;0,12;3,64;3,71;3,21
DF;2023;OK;1186519440,38;137786850,45;1324306290,8300002;40632486,87;1905632,47;42538119,34;1227151927,25;139692482,92;1366844410,17;29060115830,71;3043587592,57;32103703423,28;4,08;4,13;0,14;0,13;4,22;4,26;3,7
DF;2024;OK;1384000189,28;164720282,73;1548720472,01;50070996,46;2206018,76;52277015,22;1434071185,74;166926301,48999998;1600997487,23;35303270142,74;3320543245,67;38623813388,41;3,92;4,01;0,14;0,14;4,06;4,15;3,58
ES;2015;OK;1218466827,8;0,0;1218466827,8;144302915,56;0,0;144302915,56;1362769743,36;0,0;1362769743,36;11887084241,21;2014201599,36;13901285840,57;10,25;8,77;1,21;1,04;11,46;9,8;8,77
ES;2016;OK;1275243310,39;716440161,07;1991683471,46;166240589,89;0,0;166240589,89;1441483900,2800002;716440161,07;2157924061,35;11609789087,0;2167559342,87;13777348429,87;10,98;14,46;1,43;1,21;12,42;15,66;9,26
ES;2017;OK;1294299598,5;793996789,52;2088296388,02;169285477,74;0,0;169285477,74;1463585076,24;793996789,52;2257581865,76;11676823084,08;2363142705,49;14039965789,57;11,08;14,87;1,45;1,21;12,53;16,08;9,22
ES;2018;OK;1357880466,51;870296852,98;2228177319,49;186992368,19;2174626,04;189166994,23;1544872834,7;872471479,02;2417344313,72;13058241347,23;2530965402,08;15589206749,31;10,4;14,29;1,43;1,21;11,83;15,51;8,71
ES;2019;OK;1311580321,52;940895443,53;2252475765,05;196452011,93;3101540,99;199553552,92;1508032333,45;943996984,52;2452029317,9700003;13588941934,5;2791442321,65;16380384256,15;9,65;13,75;1,45;1,22;11,1;14,97;8,01
ES;2020;OK;1325086211,25;344414295,91;1669500507,16;191942907,41;1323965,34;193266872,75;1517029118,66;345738261,25;1862767379,91;14594541260,41;2265074722,12;16859615982,53;9,08;9,9;1,32;1,15;10,39;11,05;7,86
ES;2021;OK;1484560625,78;39151210,29;1523711836,07;211971981,17;329084,53;212301065,7;1696532606,95;39480294,82;1736012901,77;17399977756,05;308766669,82;17708744425,87;8,53;8,6;1,22;1,2;9,75;9,8;8,38
ES;2022;OK;2028006873,63;47527192,13;2075534065,76;297101291,37;393490,46;297494781,83;2325108165,0;47920682,59;2373028847,59;21097527601,44;426747977,72;21524275579,16;9,61;9,64;1,41;1,38;11,02;11,02;9,42
ES;2023;OK;2023752520,13;52164969,4;2075917489,53;309549495,64;353964,57;309903460,21;2333302015,77;52518933,97;2385820949,74;23287211959,65;380545324,66;23667757284,31;8,69;8,77;1,33;1,31;10,02;10,08;8,55
ES;2024;OK;2350029320,11;61313643,19;2411342963,3;322736333,45;288383,58;323024717,03;2672765653,56;61602026,77;2734367680,33;26065945261,82;408490368,8;26474435630,62;9,02;9,11;1,24;1,22;10,25;10,33;8,88
GO;2015;OK;2431198104,05;0,0;2431198104,05;34397094,01;0,0;34397094,01;2465595198,0600004;0,0;2465595198,0600004;19557083346,28;1158385148,74;20715468495,02;12,43;11,74;0,18;0,17;12,61;11,9;11,74
GO;2016;OK;2467431484,36;474227763,02;2941659247,38;111343504,78;0,0;111343504,78;2578774989,1400003;474227763,02;3053002752,1600003;19513849360,45;1155787283,17;20669636643,62;12,64;14,23;0,57;0,54;13,22;14,77;11,94
GO;2017;OK;2768797636,9;563560586,86;3332358223,76;115313374,45;0,0;115313374,45;2884111011,35;563560586,86;3447671598,21;22158921979,88;1353412455,99;23512334435,87;12,5;14,17;0,52;0,49;13,02;14,66;11,78
GO;2018;OK;2807535260,45;584363060,87;3391898321,32;127843658,75;0,0;127843658,75;2935378919,2;584363060,87;3519741980,07;23438908736,19;1653766726,69;25092675462,88;11,98;13,52;0,55;0,51;12,52;14,03;11,19
GO;2019;OK;3643720859,68;745846005,72;4389566865,4;111291625,54;0,0;111291625,54;3755012485,22;745846005,72;4500858490,94;26730017318,36;2050095268,03;28780112586,39;13,63;15,25;0,42;0,39;14,05;15,64;12,66
GO;2020;OK;3135240199,99;261136694,48;3396376894,47;104096988,43;0,0;104096988,43;3239337188,42;261136694,48;3500473882,9;26821092160,3;1493075761,43;28314167921,73;11,69;12,0;0,39;0,37;12,08;12,36;11,07
GO;2021;OK;3179193139,86;174461588,04;3353654727,9;103874023,75;0,0;103874023,75;3283067163,61;174461588,04;3457528751,65;29224680242,15;1489563950,59;30714244192,74;10,88;10,92;0,36;0,34;11,23;11,26;10,35
GO;2022;OK;3451974835,87;188542578,29;3640517414,16;110180997,55;0,0;110180997,55;3562155833,42;188542578,29;3750698411,71;35728968365,46;1519369067,49;37248337432,95;9,66;9,77;0,31;0,3;9,97;10,07;9,27
GO;2023;OK;3774328033,57;192656537,74;3966984571,31;176173176,18;24587,5;176197763,68;3950501209,75;192681125,24;4143182334,99;36457953577,28;1628227024,43;38086180601,71;10,35;10,42;0,48;0,46;10,84;10,88;9,91
GO;2024;OK;4229186399,3;207051414,84;4436237814,14;100088243,77;73765,0;100162008,77;4329274643,070001;207125179,84;4536399822,910001;40503693849,1;1832936715,39;42336630564,49;10,44;10,48;0,25;0,24;10,69;10,72;9,99
MA;2015;OK;1127444760,17;0,0;1127444760,17;154925826,87;0,0;154925826,87;1282370587,04;0,0;1282370587,04;13339142593,79;0,0;13339142593,79;8,45;8,45;1,16;1,16;9,61;9,61;8,45
MA;2016;OK;1361929381,71;0,0;1361929381,71;143334284,99;0,0;143334284,99;1505263666,7;0,0;1505263666,7;14947160549,0;0,0;14947160549,0;9,11;9,11;0,96;0,96;10,07;10,07;9,11
MA;2017;OK;1557092257,82;2936936,91;1560029194,73;112857105,35;0,0;112857105,35;1669949363,1699998;2936936,91;1672886300,08;15902548089,52;707633899,5;16610181989,02;9,79;9,39;0,71;0,68;10,5;10,07;9,37
MA;2018;OK;1816733557,05;3089872,24;1819823429,29;168449384,29;0,0;168449384,29;1985182941,34;3089872,24;1988272813,58;17237626166,37;1194959902,1;18432586068,47;10,54;9,87;0,98;0,91;11,52;10,79;9,86
MA;2019;OK;1911950008,78;4350992,52;1916301001,3;198578534,39;0,0;198578534,39;2110528543,17;4350992,52;2114879535,69;15373813507,41;817435540,32;16191249047,73;12,44;11,84;1,29;1,23;13,73;13,06;11,81
MA;2020;OK;1882739938,95;4196926,86;1886936865,81;195269122,24;0,0;195269122,24;2078009061,19;4196926,86;2082205988,05;16028585115,38;1202668696,03;17231253811,41;11,75;10,95;1,22;1,13;12,96;12,08;10,93
MA;2021;OK;1897050096,54;4874534,74;1901924631,28;247252993,88;0,0;247252993,88;2144303090,42;4874534,74;2149177625,16;19195792055,93;958351087,46;20154143143,39;9,88;9,44;1,29;1,23;11,17;10,66;9,41
MA;2022;OK;2046619327,98;4507970,34;2051127298,32;267988768,79;0,0;267988768,79;2314608096,77;4507970,34;2319116067,11;22402256809,06;955762833,16;23358019642,22;9,14;8,78;1,2;1,15;10,33;9,93;8,76
MA;2023;OK;2096734987,31;7731933,68;2104466920,99;268328886,67;0,0;268328886,67;2365063873,98;7731933,68;2372795807,66;22859437314,18;1101129246,58;23960566560,76;9,17;8,78;1,17;1,12;10,35;9,9;8,75
